"date","draw_number","draw_sum","odd_count","even_count","low_count","high_count","spread"
"",604,103,3,3,4,2,25
"",604,144,2,4,4,2,44
"",605,130,2,4,4,2,35
"",605,167,5,1,2,4,36
"",606,171,3,3,3,3,43
"",606,168,2,4,2,4,43
"",1,228,2,4,2,4,25
"",1,181,3,3,1,5,32
"",2,179,1,5,1,5,16
"",2,137,1,5,4,2,44
"",3,167,3,3,2,4,47
"",3,146,4,2,3,3,46
"",4,150,4,2,3,3,45
"",4,166,4,2,1,5,10
"",5,126,4,2,3,3,42
"",5,154,4,2,2,4,38
"",6,126,4,2,3,3,35
"",6,164,2,4,3,3,38
"",7,146,2,4,3,3,33
"",7,181,3,3,3,3,39
"",8,142,4,2,3,3,39
"",8,101,3,3,5,1,46
"",9,108,0,6,4,2,32
"",9,128,2,4,3,3,41
"",10,133,3,3,3,3,32
"",10,144,2,4,3,3,31
"",11,125,3,3,3,3,39
"",11,184,2,4,2,4,24
"",12,125,1,5,4,2,30
"",12,179,3,3,3,3,33
"",13,177,3,3,1,5,43
"",13,214,4,2,1,5,36
"",14,80,4,2,5,1,31
"",14,224,4,2,0,6,20
"",15,142,2,4,3,3,33
"",15,148,4,2,3,3,25
"",16,133,5,1,4,2,37
"",16,179,3,3,2,4,34
"",17,103,3,3,4,2,44
"",17,192,4,2,2,4,38
"",18,165,3,3,3,3,35
"",18,167,3,3,3,3,37
"",19,173,3,3,2,4,39
"",19,96,4,2,4,2,31
"",20,178,4,2,3,3,48
"",20,156,2,4,3,3,28
"",21,91,3,3,4,2,38
"",21,146,4,2,3,3,48
"",22,204,4,2,1,5,32
"",22,162,4,2,3,3,37
"",23,255,3,3,0,6,15
"",23,208,4,2,1,5,39
"",24,83,3,3,5,1,45
"",24,136,4,2,3,3,46
"",25,154,4,2,3,3,42
"",25,101,5,1,4,2,42
"",26,110,4,2,4,2,32
"",26,150,2,4,3,3,39
"",27,125,5,1,3,3,30
"",27,119,5,1,3,3,27
"",28,140,2,4,3,3,32
"",28,157,5,1,3,3,34
"",29,196,4,2,1,5,36
"",29,178,4,2,1,5,27
"",30,133,3,3,3,3,27
"",30,122,2,4,3,3,31
"",31,160,2,4,3,3,31
"",31,206,4,2,1,5,27
"",32,137,1,5,3,3,43
"",32,160,2,4,2,4,40
"",33,182,4,2,2,4,33
"",33,151,3,3,3,3,27
"",34,116,4,2,4,2,17
"",34,115,3,3,4,2,43
"",35,161,1,5,2,4,32
"",35,175,1,5,2,4,36
"",36,150,2,4,3,3,39
"",36,139,3,3,3,3,47
"",37,165,3,3,2,4,39
"",37,240,2,4,0,6,16
"",38,227,3,3,1,5,31
"",38,163,3,3,2,4,40
"",39,151,3,3,2,4,34
"",39,127,3,3,4,2,33
"",40,210,4,2,2,4,33
"",40,138,4,2,3,3,43
"",41,135,5,1,3,3,18
"",41,102,4,2,5,1,47
"",42,112,2,4,4,2,44
"",42,150,2,4,3,3,43
"",43,124,2,4,4,2,45
"",43,170,4,2,2,4,30
"",44,130,2,4,3,3,33
"",44,110,2,4,5,1,29
"",45,140,2,4,3,3,42
"",45,157,1,5,3,3,41
"",46,154,4,2,3,3,40
"",46,142,2,4,4,2,28
"",47,106,2,4,4,2,33
"",47,190,4,2,2,4,39
"",48,154,4,2,2,4,46
"",48,82,2,4,6,0,21
"",49,184,2,4,2,4,23
"",49,209,3,3,0,6,22
"",50,181,3,3,2,4,36
"",50,128,2,4,5,1,18
"",51,181,3,3,1,5,41
"",51,160,6,0,1,5,34
"",601,139,3,3,3,3,30
"",601,97,3,3,5,1,31
"",602,207,1,5,1,5,34
"",602,162,6,0,2,4,28
"",602,160,4,2,3,3,29
"",602,160,4,2,3,3,40
"",603,100,2,4,4,2,29
"",603,108,4,2,4,2,32
"",604,144,4,2,3,3,18
"",604,152,2,4,3,3,40
"",1,187,3,3,2,4,47
"",1,171,1,5,3,3,38
"",2,119,3,3,4,2,25
"",2,138,4,2,3,3,45
"",3,87,3,3,5,1,25
"",3,129,3,3,4,2,40
"",4,184,2,4,2,4,44
"",4,150,4,2,2,4,36
"",5,167,3,3,3,3,43
"",5,113,5,1,3,3,38
"",6,189,3,3,1,5,39
"",6,157,3,3,3,3,35
"",7,102,4,2,5,1,36
"",7,144,4,2,2,4,34
"",8,133,3,3,4,2,44
"",8,55,3,3,6,0,17
"",9,170,4,2,2,4,26
"",9,137,3,3,3,3,30
"",10,100,4,2,6,0,15
"",10,131,5,1,3,3,36
"",11,180,2,4,2,4,42
"",11,118,2,4,3,3,44
"",12,183,3,3,2,4,43
"",12,197,3,3,1,5,34
"",13,153,3,3,3,3,41
"",13,163,3,3,3,3,41
"",14,151,3,3,3,3,33
"",14,153,3,3,4,2,29
"",15,158,4,2,2,4,46
"",15,157,1,5,2,4,20
"",16,127,1,5,3,3,46
"",16,143,1,5,4,2,34
"",17,137,3,3,3,3,33
"",17,124,2,4,4,2,33
"",18,152,4,2,3,3,37
"",18,121,1,5,4,2,32
"",19,170,4,2,2,4,38
"",19,172,2,4,2,4,38
"",20,127,3,3,3,3,35
"",20,167,1,5,4,2,32
"",21,237,3,3,0,6,18
"",21,164,2,4,2,4,32
"",22,195,5,1,2,4,40
"",22,160,2,4,2,4,21
"",23,92,2,4,5,1,34
"",23,151,3,3,2,4,28
"",24,123,1,5,4,2,38
"",24,171,5,1,2,4,46
"",25,189,3,3,2,4,46
"",25,146,4,2,4,2,37
"",26,181,3,3,3,3,45
"",26,134,4,2,3,3,42
"",27,124,4,2,3,3,31
"",27,146,2,4,4,2,41
"",28,143,3,3,3,3,29
"",28,171,3,3,2,4,18
"",29,155,3,3,2,4,39
"",29,164,2,4,3,3,38
"",30,172,2,4,3,3,35
"",30,146,4,2,4,2,39
"",31,142,2,4,4,2,41
"",31,195,3,3,1,5,31
"",32,139,3,3,4,2,38
"",32,120,2,4,4,2,41
"",33,129,5,1,4,2,20
"",33,138,4,2,3,3,21
"",34,207,5,1,1,5,26
"",34,194,2,4,1,5,26
"",35,115,5,1,4,2,38
"",35,173,3,3,2,4,23
"",36,205,3,3,2,4,33
"",36,132,4,2,3,3,36
"",37,143,1,5,3,3,45
"",37,125,5,1,3,3,22
"",38,185,3,3,2,4,38
"",38,134,4,2,3,3,40
"",39,177,3,3,2,4,43
"",39,123,3,3,3,3,26
"",40,126,2,4,3,3,42
"",40,175,5,1,2,4,43
"",41,140,4,2,3,3,31
"",41,187,3,3,2,4,41
"",42,197,3,3,1,5,32
"",42,75,5,1,5,1,36
"",43,121,1,5,4,2,40
"",43,184,4,2,2,4,47
"",44,139,3,3,2,4,40
"",44,164,4,2,2,4,29
"",45,238,4,2,0,6,21
"",45,187,3,3,2,4,37
"",46,161,3,3,3,3,34
"",46,134,4,2,3,3,43
"",47,139,3,3,3,3,40
"",47,211,3,3,1,5,35
"",48,183,1,5,3,3,45
"",48,158,4,2,3,3,48
"",49,156,2,4,3,3,39
"",49,176,2,4,2,4,41
"",50,105,5,1,4,2,38
"",50,149,3,3,3,3,36
"",51,159,3,3,2,4,45
"",51,194,2,4,2,4,40
"",52,146,2,4,2,4,44
"",52,183,1,5,2,4,37
"",601,177,3,3,2,4,44
"",601,132,0,6,4,2,28
"",602,131,3,3,2,4,39
"",602,152,2,4,2,4,32
"",602,177,5,1,2,4,44
"",602,150,4,2,3,3,44
"",603,150,4,2,2,4,38
"",603,181,3,3,2,4,22
"",0,146,2,4,4,2,18
"",0,114,4,2,4,2,38
"",1,149,3,3,3,3,43
"",1,130,2,4,4,2,41
"",2,146,2,4,3,3,44
"",2,144,2,4,3,3,39
"",3,175,3,3,3,3,46
"",3,147,3,3,3,3,39
"",4,168,4,2,3,3,36
"",4,176,4,2,2,4,27
"",5,156,2,4,3,3,33
"",5,93,3,3,4,2,32
"",6,174,4,2,2,4,40
"",6,197,3,3,3,3,32
"",7,183,5,1,2,4,46
"",7,120,2,4,4,2,35
"",8,129,3,3,4,2,37
"",8,115,3,3,5,1,39
"",9,154,4,2,3,3,26
"",9,157,3,3,3,3,40
"",10,70,4,2,5,1,28
"",10,140,4,2,4,2,40
"",11,180,4,2,2,4,31
"",11,152,2,4,2,4,45
"",12,154,4,2,3,3,34
"",12,156,4,2,3,3,35
"",13,163,3,3,3,3,18
"",13,81,3,3,5,1,25
"",14,159,3,3,2,4,31
"",14,165,1,5,3,3,35
"",15,139,3,3,3,3,45
"",15,136,2,4,3,3,33
"",16,125,1,5,4,2,38
"",16,153,3,3,3,3,41
"",17,144,2,4,3,3,25
"",17,116,2,4,4,2,33
"",18,164,4,2,2,4,39
"",18,143,3,3,3,3,40
"",19,110,4,2,5,1,43
"",19,162,2,4,3,3,39
"",20,190,4,2,1,5,33
"",20,110,2,4,4,2,33
"",21,193,3,3,2,4,40
"",21,137,5,1,3,3,28
"",22,169,1,5,2,4,42
"",22,142,4,2,3,3,41
"",23,181,3,3,3,3,21
"",23,124,2,4,3,3,37
"",24,146,4,2,3,3,47
"",24,146,4,2,3,3,33
"",25,158,2,4,2,4,27
"",25,153,3,3,2,4,36
"",26,142,4,2,3,3,45
"",26,145,3,3,3,3,39
"",27,126,4,2,4,2,47
"",27,156,2,4,3,3,45
"",28,189,3,3,1,5,32
"",28,198,4,2,2,4,34
"",29,113,3,3,4,2,46
"",29,134,2,4,3,3,35
"",30,120,2,4,4,2,29
"",30,183,5,1,2,4,48
"",31,164,2,4,3,3,39
"",31,182,4,2,2,4,39
"",32,155,3,3,3,3,37
"",32,140,2,4,2,4,40
"",33,119,1,5,4,2,39
"",33,187,1,5,3,3,27
"",34,142,4,2,3,3,15
"",34,148,4,2,3,3,34
"",35,132,2,4,4,2,45
"",35,159,3,3,3,3,43
"",36,145,3,3,4,2,34
"",36,221,3,3,1,5,21
"",37,115,3,3,3,3,38
"",37,167,3,3,4,2,34
"",38,186,2,4,2,4,39
"",38,180,2,4,3,3,28
"",39,188,4,2,1,5,24
"",39,231,5,1,0,6,22
"",40,171,3,3,3,3,41
"",40,131,3,3,3,3,44
"",41,109,3,3,5,1,35
"",41,121,3,3,4,2,34
"",42,214,4,2,1,5,28
"",42,130,4,2,4,2,41
"",43,182,4,2,3,3,35
"",43,158,4,2,3,3,40
"",44,167,1,5,2,4,38
"",44,107,3,3,4,2,31
"",45,169,3,3,2,4,34
"",45,150,2,4,3,3,40
"",46,159,3,3,3,3,39
"",46,148,4,2,2,4,37
"",47,119,5,1,3,3,40
"",47,169,3,3,2,4,39
"",48,127,3,3,4,2,37
"",48,153,3,3,2,4,36
"",49,93,3,3,5,1,47
"",49,131,5,1,3,3,38
"",50,133,3,3,4,2,34
"",50,118,2,4,4,2,35
"",51,123,3,3,5,1,42
"",51,114,2,4,4,2,31
"",52,122,2,4,4,2,41
"",52,107,3,3,4,2,34
"",601,165,3,3,1,5,40
"",601,156,4,2,2,4,39
"",601,144,2,4,4,2,35
"",601,90,2,4,5,1,40
"",602,100,2,4,4,2,41
"",602,146,4,2,3,3,45
"",603,152,4,2,2,4,34
"",603,196,2,4,2,4,27
"",604,189,5,1,2,4,38
"",604,134,4,2,3,3,44
"",1,164,2,4,2,4,38
"",1,131,5,1,3,3,40
"",2,160,4,2,2,4,47
"",2,163,5,1,3,3,26
"",3,141,3,3,3,3,23
"",3,160,4,2,3,3,38
"",4,87,1,5,5,1,30
"",4,202,2,4,1,5,44
"",5,165,3,3,2,4,47
"",5,168,4,2,2,4,24
"",6,170,4,2,2,4,40
"",6,198,2,4,2,4,28
"",7,119,3,3,5,1,35
"",7,97,5,1,5,1,43
"",8,134,2,4,4,2,40
"",8,173,3,3,3,3,36
"",9,103,3,3,5,1,33
"",9,128,4,2,3,3,34
"",10,176,4,2,2,4,48
"",10,172,2,4,1,5,22
"",11,187,3,3,2,4,25
"",11,153,5,1,3,3,48
"",12,139,5,1,3,3,42
"",12,154,2,4,3,3,45
"",13,166,4,2,2,4,39
"",13,154,2,4,3,3,40
"",14,70,4,2,6,0,20
"",14,202,2,4,1,5,30
"",15,138,2,4,4,2,41
"",15,149,3,3,3,3,47
"",16,181,3,3,2,4,37
"",16,122,2,4,4,2,43
"",17,146,4,2,2,4,27
"",17,127,3,3,4,2,37
"",18,117,1,5,4,2,40
"",18,144,2,4,3,3,37
"",19,138,4,2,4,2,25
"",19,195,3,3,1,5,31
"",20,105,3,3,4,2,29
"",20,100,4,2,5,1,40
"",21,74,2,4,5,1,27
"",21,143,5,1,2,4,42
"",22,152,2,4,2,4,36
"",22,123,3,3,3,3,43
"",23,153,5,1,3,3,36
"",23,168,2,4,3,3,36
"",24,123,1,5,4,2,28
"",24,174,2,4,3,3,24
"",25,166,2,4,3,3,29
"",25,160,4,2,3,3,41
"",26,142,2,4,4,2,19
"",26,161,3,3,3,3,29
"",27,152,2,4,3,3,38
"",27,101,3,3,4,2,25
"",28,208,2,4,1,5,41
"",28,88,2,4,5,1,39
"",29,176,0,6,2,4,44
"",29,115,3,3,4,2,31
"",30,100,4,2,4,2,26
"",30,88,4,2,4,2,35
"",31,121,3,3,4,2,48
"",31,87,3,3,5,1,26
"",32,150,2,4,3,3,24
"",32,110,4,2,5,1,17
"",33,153,3,3,3,3,33
"",33,105,3,3,4,2,33
"",34,96,2,4,5,1,32
"",34,160,0,6,3,3,36
"",35,164,4,2,3,3,30
"",35,111,1,5,4,2,44
"",36,153,3,3,3,3,27
"",36,133,3,3,3,3,43
"",37,148,2,4,3,3,41
"",37,140,4,2,4,2,36
"",38,159,3,3,3,3,38
"",38,139,3,3,5,1,34
"",39,172,2,4,2,4,24
"",39,140,2,4,3,3,44
"",40,170,2,4,2,4,47
"",40,176,4,2,1,5,40
"",41,119,3,3,4,2,35
"",41,89,3,3,4,2,43
"",42,196,4,2,2,4,32
"",42,122,4,2,4,2,36
"",43,115,1,5,4,2,25
"",43,132,4,2,4,2,44
"",44,183,3,3,3,3,42
"",44,140,4,2,4,2,48
"",45,127,3,3,3,3,30
"",45,115,3,3,4,2,44
"",46,145,3,3,2,4,40
"",46,124,4,2,4,2,36
"",47,141,5,1,4,2,47
"",47,193,3,3,2,4,28
"",48,110,2,4,4,2,32
"",48,128,4,2,4,2,45
"",49,155,3,3,4,2,34
"",49,87,3,3,5,1,28
"",50,135,3,3,3,3,25
"",50,115,3,3,4,2,45
"",51,96,2,4,5,1,35
"",51,162,2,4,3,3,40
"",52,155,3,3,2,4,39
"",52,144,2,4,4,2,32
"",601,110,2,4,5,1,32
"",601,171,1,5,2,4,25
"",601,171,3,3,2,4,33
"",601,136,4,2,3,3,42
"",602,91,3,3,5,1,28
"",602,153,3,3,3,3,41
"",603,154,4,2,3,3,40
"",603,203,1,5,1,5,44
"",0,133,3,3,5,1,31
"",0,149,5,1,2,4,32
"",1,170,2,4,3,3,41
"",1,172,4,2,2,4,33
"",2,180,4,2,2,4,25
"",2,146,2,4,3,3,47
"",3,176,4,2,3,3,45
"",3,164,4,2,2,4,45
"",4,125,5,1,4,2,26
"",4,173,5,1,3,3,44
"",5,146,4,2,2,4,36
"",5,142,4,2,4,2,28
"",6,154,4,2,3,3,42
"",6,115,3,3,4,2,39
"",7,179,5,1,1,5,32
"",7,133,3,3,4,2,45
"",8,156,2,4,3,3,38
"",8,188,4,2,2,4,34
"",9,127,5,1,4,2,40
"",9,148,2,4,3,3,40
"",10,126,2,4,4,2,38
"",10,215,3,3,0,6,20
"",11,191,3,3,1,5,47
"",11,140,4,2,3,3,38
"",12,166,2,4,3,3,35
"",12,154,0,6,3,3,28
"",13,126,2,4,3,3,35
"",13,188,4,2,2,4,46
"",14,121,3,3,4,2,43
"",14,144,2,4,3,3,42
"",15,210,4,2,2,4,38
"",15,119,5,1,4,2,42
"",16,124,4,2,3,3,33
"",16,158,2,4,3,3,33
"",17,149,3,3,2,4,36
"",17,132,2,4,3,3,40
"",18,146,2,4,4,2,40
"",18,110,4,2,5,1,43
"",19,107,3,3,5,1,38
"",19,145,3,3,3,3,32
"",20,146,2,4,4,2,42
"",20,130,4,2,4,2,35
"",21,135,1,5,3,3,38
"",21,198,2,4,2,4,25
"",22,109,3,3,5,1,16
"",22,175,3,3,3,3,31
"",23,150,0,6,2,4,28
"",23,168,4,2,2,4,39
"",24,128,4,2,3,3,45
"",24,92,2,4,5,1,40
"",25,209,5,1,2,4,36
"",25,152,4,2,3,3,42
"",26,85,3,3,5,1,36
"",26,226,4,2,0,6,22
"",27,153,3,3,4,2,38
"",27,208,4,2,1,5,23
"",28,145,1,5,3,3,36
"",28,147,3,3,3,3,40
"",29,118,4,2,4,2,41
"",29,127,1,5,3,3,29
"",30,149,1,5,3,3,43
"",30,164,4,2,2,4,35
"",31,126,2,4,3,3,43
"",31,136,4,2,4,2,43
"",32,150,4,2,3,3,40
"",32,195,3,3,2,4,38
"",33,131,5,1,3,3,44
"",33,162,4,2,2,4,32
"",34,157,3,3,2,4,39
"",34,191,3,3,2,4,31
"",35,115,1,5,4,2,41
"",35,100,4,2,4,2,32
"",36,97,3,3,5,1,31
"",36,220,4,2,0,6,21
"",37,174,2,4,2,4,36
"",37,193,5,1,1,5,38
"",38,186,2,4,2,4,40
"",38,140,2,4,3,3,24
"",39,117,3,3,4,2,47
"",39,104,2,4,5,1,33
"",40,158,4,2,2,4,47
"",40,87,3,3,5,1,27
"",41,168,2,4,3,3,36
"",41,161,3,3,3,3,41
"",42,115,3,3,4,2,28
"",42,185,3,3,2,4,28
"",43,216,2,4,1,5,30
"",43,243,5,1,0,6,20
"",44,99,3,3,5,1,35
"",44,143,5,1,3,3,46
"",45,119,3,3,5,1,30
"",45,147,3,3,3,3,46
"",46,123,5,1,3,3,44
"",46,70,4,2,6,0,19
"",47,94,4,2,5,1,42
"",47,153,3,3,3,3,37
"",48,178,2,4,2,4,35
"",48,180,4,2,2,4,37
"",49,175,3,3,2,4,40
"",49,106,4,2,4,2,46
"",50,172,4,2,2,4,46
"",50,117,3,3,4,2,13
"",51,112,4,2,4,2,45
"",51,92,2,4,5,1,26
"",601,180,4,2,2,4,38
"",601,130,4,2,3,3,24
"",0,188,2,4,1,5,32
"",0,187,3,3,3,3,39
"",1,155,3,3,3,3,33
"",1,186,2,4,3,3,45
"",2,229,1,5,0,6,14
"",2,121,5,1,3,3,44
"",3,196,2,4,2,4,37
"",3,202,4,2,1,5,28
"",4,122,0,6,4,2,46
"",4,84,2,4,5,1,34
"",5,176,4,2,2,4,48
"",5,134,2,4,3,3,39
"",6,151,3,3,3,3,42
"",6,106,4,2,4,2,41
"",7,174,2,4,2,4,45
"",7,170,2,4,2,4,37
"",8,130,4,2,4,2,39
"",8,178,2,4,2,4,22
"",9,192,2,4,2,4,37
"",9,160,2,4,3,3,45
"",10,141,3,3,3,3,39
"",10,174,4,2,3,3,35
"",11,144,6,0,3,3,42
"",11,200,4,2,1,5,39
"",12,154,4,2,3,3,34
"",12,158,4,2,4,2,40
"",13,143,3,3,4,2,41
"",13,150,4,2,3,3,37
"",14,79,5,1,5,1,26
"",14,136,2,4,4,2,29
"",15,142,4,2,2,4,34
"",15,163,3,3,2,4,39
"",16,162,2,4,3,3,47
"",16,124,4,2,5,1,38
"",17,180,6,0,2,4,36
"",17,144,4,2,3,3,40
"",18,212,4,2,1,5,44
"",18,99,5,1,4,2,25
"",19,115,5,1,3,3,30
"",19,109,3,3,4,2,25
"",20,84,4,2,6,0,20
"",20,109,3,3,4,2,44
"",21,171,3,3,2,4,39
"",21,107,1,5,5,1,28
"",22,129,3,3,5,1,26
"",22,106,2,4,5,1,35
"",23,139,3,3,3,3,41
"",23,128,2,4,4,2,39
"",24,180,4,2,2,4,43
"",24,98,6,0,4,2,34
"",25,129,3,3,3,3,41
"",25,133,3,3,3,3,44
"",26,199,3,3,1,5,25
"",26,185,3,3,2,4,32
"",27,203,3,3,2,4,43
"",27,189,3,3,2,4,21
"",28,168,4,2,2,4,25
"",28,140,2,4,3,3,32
"",29,112,4,2,4,2,36
"",29,184,2,4,2,4,46
"",30,217,3,3,1,5,30
"",30,178,2,4,2,4,32
"",31,152,2,4,3,3,41
"",31,200,2,4,1,5,35
"",32,140,4,2,3,3,42
"",32,212,2,4,1,5,25
"",33,157,3,3,3,3,38
"",33,148,4,2,3,3,44
"",34,121,5,1,4,2,42
"",34,212,4,2,1,5,34
"",35,193,5,1,2,4,42
"",35,168,4,2,2,4,42
"",36,168,2,4,2,4,34
"",36,167,1,5,3,3,31
"",37,151,3,3,2,4,32
"",37,148,4,2,2,4,37
"",38,96,4,2,5,1,36
"",38,214,4,2,1,5,44
"",39,126,2,4,4,2,37
"",39,152,2,4,3,3,39
"",40,211,3,3,1,5,27
"",40,93,3,3,5,1,23
"",41,168,2,4,3,3,30
"",41,146,2,4,3,3,42
"",42,152,2,4,3,3,40
"",42,207,3,3,1,5,29
"",43,171,3,3,2,4,31
"",43,108,4,2,4,2,44
"",44,181,3,3,1,5,46
"",44,156,2,4,3,3,47
"",45,110,4,2,4,2,46
"",45,133,3,3,3,3,39
"",46,140,0,6,3,3,46
"",46,70,2,4,5,1,23
"",47,154,4,2,2,4,32
"",47,177,1,5,2,4,35
"",48,139,1,5,3,3,30
"",48,127,1,5,4,2,30
"",49,190,2,4,1,5,18
"",49,176,2,4,2,4,43
"",50,92,4,2,4,2,32
"",50,69,3,3,6,0,17
"",51,157,1,5,3,3,43
"",51,137,1,5,4,2,40
"",601,187,5,1,1,5,33
"",601,110,4,2,4,2,34
"",1,137,3,3,3,3,39
"",1,162,4,2,2,4,45
"",2,215,3,3,2,4,39
"",2,177,3,3,2,4,47
"",3,165,3,3,3,3,37
"",3,95,3,3,5,1,45
"",4,161,3,3,3,3,45
"",4,95,1,5,5,1,26
"",5,168,2,4,3,3,29
"",5,157,3,3,3,3,31
"",6,174,2,4,1,5,39
"",6,191,3,3,2,4,35
"",7,112,4,2,5,1,43
"",7,171,3,3,3,3,31
"",8,96,2,4,5,1,45
"",8,164,2,4,3,3,38
"",9,134,4,2,4,2,46
"",9,176,4,2,2,4,41
"",10,127,3,3,4,2,36
"",10,143,3,3,3,3,45
"",11,196,4,2,2,4,40
"",11,194,4,2,2,4,35
"",12,143,3,3,3,3,44
"",12,131,3,3,4,2,35
"",13,149,1,5,3,3,43
"",13,199,3,3,3,3,35
"",14,142,4,2,4,2,45
"",14,192,2,4,2,4,37
"",15,129,5,1,3,3,35
"",15,156,2,4,3,3,25
"",16,127,3,3,4,2,35
"",16,93,1,5,4,2,24
"",17,187,3,3,2,4,40
"",17,194,4,2,1,5,43
"",18,162,4,2,2,4,46
"",18,115,3,3,4,2,37
"",19,172,4,2,2,4,35
"",19,90,2,4,5,1,32
"",20,129,3,3,4,2,41
"",20,143,3,3,4,2,31
"",21,148,2,4,2,4,36
"",21,101,3,3,4,2,33
"",22,183,3,3,3,3,23
"",22,250,4,2,0,6,17
"",23,144,4,2,3,3,47
"",23,127,5,1,3,3,24
"",24,133,5,1,4,2,48
"",24,156,2,4,2,4,42
"",25,97,1,5,5,1,37
"",25,139,3,3,3,3,32
"",26,192,4,2,3,3,26
"",26,160,6,0,3,3,46
"",27,171,3,3,2,4,41
"",27,106,2,4,5,1,34
"",28,147,3,3,3,3,25
"",28,185,3,3,1,5,43
"",29,144,2,4,2,4,40
"",29,142,4,2,3,3,27
"",30,137,3,3,3,3,24
"",30,198,2,4,2,4,40
"",31,151,5,1,3,3,44
"",31,133,3,3,3,3,43
"",32,93,3,3,4,2,30
"",32,216,4,2,0,6,22
"",33,100,2,4,4,2,29
"",33,194,4,2,2,4,26
"",34,166,4,2,3,3,31
"",34,141,1,5,3,3,29
"",35,159,3,3,3,3,22
"",35,198,2,4,1,5,27
"",36,93,3,3,5,1,47
"",36,108,4,2,5,1,32
"",37,120,0,6,4,2,36
"",37,142,4,2,3,3,43
"",38,201,3,3,1,5,47
"",38,126,4,2,4,2,21
"",39,168,4,2,2,4,35
"",39,107,3,3,4,2,36
"",40,189,3,3,2,4,35
"",40,154,4,2,4,2,34
"",41,118,2,4,4,2,33
"",41,165,5,1,3,3,42
"",42,159,1,5,3,3,35
"",42,162,2,4,2,4,40
"",43,192,4,2,2,4,32
"",43,119,1,5,4,2,44
"",44,173,1,5,2,4,42
"",44,102,2,4,4,2,18
"",45,158,4,2,3,3,33
"",45,189,3,3,1,5,38
"",46,162,0,6,3,3,28
"",46,162,4,2,2,4,41
"",47,170,4,2,2,4,41
"",47,99,3,3,5,1,48
"",48,131,5,1,3,3,44
"",48,166,4,2,2,4,37
"",49,176,4,2,2,4,45
"",49,146,2,4,4,2,43
"",50,137,3,3,4,2,22
"",50,162,4,2,3,3,39
"",51,200,4,2,0,6,17
"",51,137,3,3,3,3,39
"",52,169,1,5,2,4,34
"",52,116,4,2,4,2,34
"",601,122,4,2,3,3,27
"",601,198,4,2,2,4,32
"",602,90,4,2,5,1,42
"",602,149,3,3,3,3,36
"",602,185,3,3,2,4,39
"",603,172,4,2,2,4,42
"",603,167,3,3,2,4,35
"",603,146,2,4,3,3,45
"",603,148,2,4,3,3,32
"",1,142,4,2,3,3,37
"",1,149,5,1,4,2,46
"",2,166,2,4,3,3,38
"",2,62,4,2,6,0,22
"",3,148,2,4,3,3,32
"",3,214,4,2,1,5,41
"",4,218,0,6,2,4,30
"",4,69,3,3,6,0,19
"",5,151,5,1,3,3,41
"",5,90,2,4,5,1,41
"",6,111,5,1,5,1,44
"",6,114,2,4,4,2,42
"",7,145,3,3,2,4,35
"",7,91,3,3,4,2,32
"",8,162,4,2,2,4,34
"",8,127,3,3,4,2,19
"",9,128,2,4,4,2,45
"",9,143,5,1,2,4,27
"",10,171,3,3,4,2,33
"",10,162,2,4,3,3,44
"",11,154,4,2,2,4,39
"",11,174,2,4,2,4,42
"",12,139,3,3,4,2,37
"",12,140,2,4,3,3,39
"",13,92,4,2,4,2,42
"",13,116,2,4,4,2,29
"",14,122,4,2,4,2,22
"",14,131,3,3,3,3,43
"",15,152,2,4,2,4,33
"",15,208,2,4,0,6,22
"",16,137,3,3,4,2,40
"",16,147,1,5,3,3,20
"",17,114,4,2,4,2,43
"",17,158,4,2,2,4,34
"",18,110,2,4,4,2,43
"",18,118,2,4,3,3,25
"",19,167,3,3,2,4,40
"",19,165,3,3,1,5,33
"",20,172,4,2,3,3,46
"",20,132,2,4,3,3,30
"",21,151,3,3,3,3,37
"",21,96,4,2,4,2,37
"",22,156,2,4,3,3,37
"",22,167,3,3,2,4,44
"",23,139,3,3,3,3,33
"",23,219,3,3,0,6,24
"",24,156,4,2,3,3,26
"",24,170,4,2,2,4,44
"",25,193,3,3,1,5,32
"",25,97,3,3,5,1,31
"",26,200,4,2,1,5,27
"",26,157,3,3,3,3,42
"",27,185,3,3,1,5,29
"",27,203,3,3,1,5,43
"",28,117,5,1,4,2,36
"",28,165,3,3,2,4,43
"",29,122,2,4,3,3,39
"",29,165,3,3,3,3,43
"",30,151,1,5,3,3,38
"",30,110,2,4,5,1,34
"",31,166,2,4,2,4,41
"",31,92,4,2,4,2,30
"",32,130,2,4,3,3,40
"",32,171,3,3,2,4,47
"",33,141,3,3,3,3,39
"",33,167,1,5,3,3,46
"",34,180,2,4,2,4,30
"",34,158,4,2,3,3,46
"",35,140,2,4,4,2,37
"",35,133,3,3,3,3,45
"",36,161,3,3,3,3,33
"",36,161,3,3,2,4,37
"",37,91,3,3,5,1,22
"",37,128,4,2,4,2,40
"",38,100,4,2,4,2,37
"",38,210,4,2,1,5,28
"",39,146,4,2,3,3,46
"",39,134,4,2,4,2,42
"",40,145,1,5,3,3,46
"",40,112,4,2,4,2,45
"",41,162,4,2,3,3,31
"",41,123,5,1,3,3,37
"",42,157,3,3,2,4,45
"",42,117,5,1,5,1,34
"",43,155,1,5,3,3,43
"",43,132,4,2,4,2,28
"",44,224,4,2,0,6,20
"",44,141,1,5,4,2,46
"",45,164,4,2,2,4,29
